lam,eta,seed,hit_at_5,mrr_score,ndcg_at_10
0.01,0.01,0,0.9322033898305084,0.8834745762711864,0.8989520526962593
0.01,0.01,1,0.9322033898305084,0.8894269572235673,0.9038240034415521
0.01,0.01,2,0.9491525423728814,0.8799435028248587,0.8993930580341601
0.01,0.05,0,0.9322033898305084,0.8834745762711864,0.8989520526962593
0.01,0.05,1,0.9322033898305084,0.8894269572235673,0.9038240034415521
0.01,0.05,2,0.9491525423728814,0.8799435028248587,0.8993930580341601
0.01,0.2,0,0.9322033898305084,0.875,0.8937558900457047
0.01,0.2,1,0.9322033898305084,0.8979015334947538,0.9100794313471207
0.01,0.2,2,0.9491525423728814,0.8757062146892655,0.896531752086186
0.05,0.01,0,0.9322033898305084,0.7639830508474577,0.8098292521977829
0.05,0.01,1,0.9322033898305084,0.7750201775625504,0.8206999188698549
0.05,0.01,2,0.9491525423728814,0.8107344632768362,0.8484809461912108
0.05,0.05,0,0.9322033898305084,0.7668079096045198,0.8120484005634009
0.05,0.05,1,0.9322033898305084,0.7834947538337369,0.8269553467754235
0.05,0.05,2,0.9491525423728814,0.8107344632768362,0.8498416107819196
0.05,0.2,0,0.9322033898305084,0.809180790960452,0.8437275572825287
0.05,0.2,1,0.9322033898305084,0.8018563357546409,0.8406411761785368
0.05,0.2,2,0.9491525423728814,0.8192090395480226,0.856817470446982
0.2,0.01,0,0.8813559322033898,0.6480225988700565,0.7241365697718476
0.2,0.01,1,0.847457627118644,0.6188458434221146,0.6977250120168929
0.2,0.01,2,0.9491525423728814,0.7141242937853107,0.781784196157202
0.2,0.05,0,0.8813559322033898,0.6480225988700565,0.7241365697718476
0.2,0.05,1,0.847457627118644,0.6160209846650525,0.6955058636512749
0.2,0.05,2,0.9491525423728814,0.7155367231638419,0.7829591697491783
0.2,0.2,0,0.8813559322033898,0.6480225988700565,0.7246927615545732
0.2,0.2,1,0.847457627118644,0.6160209846650525,0.6955058636512749
0.2,0.2,2,0.9491525423728814,0.7155367231638419,0.7829591697491783
