system,n_feedback,seed,hit_at_5,mrr_score,ndcg_at_10
itma,0,0,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma,5,0,0.847457627118644,0.628060263653484,0.6936294804519779
itma,10,0,0.864406779661017,0.6185499058380415,0.6945198540679186
itma,20,0,0.8813559322033898,0.6353309120258273,0.7061264546480225
itma,30,0,0.8813559322033898,0.6627118644067796,0.7263031708262901
itma,50,0,0.9322033898305084,0.7668079096045198,0.8120484005634009
itma,0,1,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma,5,1,0.847457627118644,0.6335216572504708,0.6955106229868916
itma,10,1,0.864406779661017,0.669774011299435,0.7275963146698192
itma,20,1,0.847457627118644,0.6557909604519775,0.7204826041439436
itma,30,1,0.8813559322033898,0.7122881355932204,0.76932367141363
itma,50,1,0.9322033898305084,0.7834947538337369,0.8269553467754235
itma,0,2,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma,5,2,0.8135593220338984,0.5961797148237826,0.6674133632793291
itma,10,2,0.8135593220338984,0.6044457896152811,0.6752731859803623
itma,20,2,0.8305084745762712,0.6379943502824859,0.708614497425728
itma,30,2,0.8983050847457628,0.7005649717514125,0.7577490288708673
itma,50,2,0.9491525423728814,0.8107344632768362,0.8498416107819196
itma_no_boost,0,0,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,5,0,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,10,0,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,20,0,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,30,0,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,50,0,0.8305084745762712,0.6260828625235405,0.6886435102188591
itma_no_boost,0,1,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,5,1,0.8305084745762712,0.6260828625235405,0.6886435102188591
itma_no_boost,10,1,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,20,1,0.8305084745762712,0.6260828625235405,0.6886435102188591
itma_no_boost,30,1,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,50,1,0.8305084745762712,0.6260828625235405,0.6886435102188591
itma_no_boost,0,2,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,5,2,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,10,2,0.8305084745762712,0.6260828625235405,0.6886435102188591
itma_no_boost,20,2,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,30,2,0.8305084745762712,0.6252354048964218,0.6879007347809124
itma_no_boost,50,2,0.8305084745762712,0.6260828625235405,0.6886435102188591
itma_boost_only,0,0,0.847457627118644,0.637758945386064,0.6948925321525186
itma_boost_only,5,0,0.847457627118644,0.6315442561205273,0.6939806348942624
itma_boost_only,10,0,0.864406779661017,0.6236346516007533,0.6956291109312214
itma_boost_only,20,0,0.8813559322033898,0.6480427764326069,0.715022448825255
itma_boost_only,30,0,0.8813559322033898,0.6717514124293785,0.7330080244258509
itma_boost_only,50,0,0.9322033898305084,0.8015536723163842,0.8382149048149069
itma_boost_only,0,1,0.847457627118644,0.637758945386064,0.6948925321525186
itma_boost_only,5,1,0.864406779661017,0.6443502824858757,0.7010168694826044
itma_boost_only,10,1,0.8813559322033898,0.6816384180790961,0.7339111846626979
itma_boost_only,20,1,0.864406779661017,0.6752824858757063,0.735438528244776
itma_boost_only,30,1,0.8813559322033898,0.7151129943502825,0.7717805323085645
itma_boost_only,50,1,0.9322033898305084,0.7976190476190477,0.8376490714122279
itma_boost_only,0,2,0.847457627118644,0.637758945386064,0.6948925321525186
itma_boost_only,5,2,0.8305084745762712,0.6062819478073715,0.6731633376633355
itma_boost_only,10,2,0.8135593220338984,0.6124697336561743,0.6793682781731027
itma_boost_only,20,2,0.847457627118644,0.6371670702179176,0.7015333103676296
itma_boost_only,30,2,0.9152542372881356,0.7067796610169492,0.7618482591174738
itma_boost_only,50,2,0.9491525423728814,0.8248587570621468,0.8603972834033086
