phase,system,mem_size,n,mean_ms,median_ms,p95_ms,std_ms,overhead_vs_dense_ms
retrieval,dense_minilm,-,267,12.163922097087028,11.97199999296572,15.69549999840092,3.318306744111587,0.0
retrieval,itma,0,267,23.087095880723115,22.707500000251457,27.646399990771897,3.634431235721905,10.923173783636088
retrieval,itma,10,267,31.26348576779662,30.16110000316985,40.14420000021346,5.905214277702823,19.099563670709593
retrieval,itma,50,267,30.925901872537548,30.474800005322322,37.73890000593383,5.562342711399893,18.76197977545052
update,itma,10,267,0.5186078648130001,0.46189999557100236,0.8419999940088019,0.35790432780192655,-
update,itma,50,267,0.6364599248082186,0.5690999969374388,1.0691999923437834,0.23491761270171127,-
