system,n_feedback,seed,hit_at_5,mrr_score,ndcg_at_10
bm25,0,0,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,5,0,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,10,0,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,20,0,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,30,0,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,50,0,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,0,1,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,5,1,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,10,1,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,20,1,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,30,1,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,50,1,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,0,2,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,5,2,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,10,2,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,20,2,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,30,2,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,50,2,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,0,3,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,5,3,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,10,3,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,20,3,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,30,3,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,50,3,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,0,4,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,5,4,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,10,4,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,20,4,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,30,4,0.8764044943820225,0.751498127340824,0.7335998293467386
bm25,50,4,0.8764044943820225,0.751498127340824,0.7335998293467386
dense_minilm,0,0,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,5,0,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,10,0,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,20,0,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,30,0,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,50,0,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,0,1,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,5,1,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,10,1,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,20,1,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,30,1,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,50,1,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,0,2,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,5,2,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,10,2,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,20,2,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,30,2,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,50,2,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,0,3,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,5,3,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,10,3,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,20,3,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,30,3,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,50,3,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,0,4,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,5,4,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,10,4,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,20,4,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,30,4,0.8426966292134831,0.66167290886392,0.7041619314935638
dense_minilm,50,4,0.8426966292134831,0.66167290886392,0.7041619314935638
cross_encoder,0,0,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,5,0,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,10,0,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,20,0,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,30,0,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,50,0,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,0,1,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,5,1,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,10,1,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,20,1,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,30,1,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,50,1,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,0,2,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,5,2,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,10,2,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,20,2,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,30,2,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,50,2,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,0,3,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,5,3,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,10,3,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,20,3,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,30,3,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,50,3,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,0,4,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,5,4,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,10,4,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,20,4,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,30,4,0.898876404494382,0.7845817727840201,0.7896033836030873
cross_encoder,50,4,0.898876404494382,0.7845817727840201,0.7896033836030873
cfrag_lite,0,0,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,5,0,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,10,0,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,20,0,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,30,0,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,50,0,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,0,1,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,5,1,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,10,1,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,20,1,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,30,1,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,50,1,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,0,2,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,5,2,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,10,2,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,20,2,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,30,2,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,50,2,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,0,3,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,5,3,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,10,3,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,20,3,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,30,3,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,50,3,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,0,4,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,5,4,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,10,4,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,20,4,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,30,4,0.898876404494382,0.8240324594257179,0.8127619458604961
cfrag_lite,50,4,0.898876404494382,0.8240324594257179,0.8127619458604961
static_memory,0,0,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,5,0,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,10,0,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,20,0,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,30,0,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,50,0,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,0,1,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,5,1,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,10,1,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,20,1,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,30,1,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,50,1,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,0,2,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,5,2,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,10,2,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,20,2,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,30,2,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,50,2,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,0,3,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,5,3,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,10,3,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,20,3,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,30,3,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,50,3,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,0,4,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,5,4,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,10,4,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,20,4,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,30,4,0.8426966292134831,0.66167290886392,0.7041619314935638
static_memory,50,4,0.8426966292134831,0.66167290886392,0.7041619314935638
