system,n_feedback,seed,hit_at_5,mrr_score,ndcg_at_10
dense_minilm,0,0,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,5,0,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,10,0,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,20,0,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,30,0,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,50,0,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,0,1,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,5,1,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,10,1,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,20,1,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,30,1,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,50,1,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,0,2,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,5,2,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,10,2,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,20,2,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,30,2,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,50,2,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,0,3,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,5,3,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,10,3,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,20,3,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,30,3,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,50,3,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,0,4,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,5,4,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,10,4,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,20,4,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,30,4,0.808695652173913,0.5297791580400276,0.6207389275757407
dense_minilm,50,4,0.808695652173913,0.5297791580400276,0.6207389275757407
